iteration,recover,entiretime,formerflip,laterflip,sumflip,pageflip,hammertime,sumtime,
1, 0.34237, 4.46005, 4.80242, 9, 9, 18, 18, 22.8156, 27.6531,
2, 0.324675, 5.3334, 5.65808, 14, 2, 16, 34, 21.9664, 56.2821,
3, 0.326249, 7.94134, 8.26759, 28, 28, 56, 90, 15.5831, 81.1373,
4, 0.325936, 9.13359, 9.45952, 18, 6, 24, 114, 21.333, 112.934,
5, 0.327131, 5.36503, 5.69216, 29, 19, 48, 162, 15.7582, 135.389,
6, 0.32751, 2.56017, 2.88768, 13, 4, 17, 179, 21.9192, 161.201,
7, 0.324543, 5.81989, 6.14443, 31, 18, 49, 228, 15.4212, 183.771,
8, 0.326853, 6.19834, 6.5252, 25, 17, 42, 270, 17.16, 208.46,
9, 0.325717, 6.48011, 6.80583, 13, 4, 17, 286, 21.8534, 238.124,
10, 0.327121, 4.81443, 5.14155, 13, 3, 16, 301, 22.6825, 266.953,
11, 0.329553, 6.13335, 6.46291, 36, 26, 62, 362, 15.3201, 289.74,
12, 0.327248, 3.39768, 3.72493, 31, 12, 43, 405, 16.3215, 310.791,
13, 0.327538, 6.29635, 6.62388, 10, 5, 15, 420, 22.925, 341.344,
14, 0.328286, 5.12414, 5.45242, 17, 6, 23, 443, 21.057, 368.858,
15, 0.330579, 6.4523, 6.78287, 14, 7, 21, 464, 21.7735, 398.419,
16, 0.329336, 5.12329, 5.45263, 44, 12, 56, 518, 15.6583, 420.535,
17, 0.329927, 6.12337, 6.45329, 29, 21, 50, 565, 16.6277, 444.62,
18, 0.328707, 5.82553, 6.15423, 32, 25, 57, 621, 15.8548, 467.634,
19, 0.329456, 6.83644, 7.1659, 21, 9, 30, 651, 21.2407, 497.045,
20, 0.331092, 7.55223, 7.88332, 45, 25, 70, 719, 15.8121, 521.745,
21, 0.331494, 2.14637, 2.47786, 16, 2, 18, 736, 22.2859, 547.513,
22, 0.331413, 2.68977, 3.02119, 13, 2, 15, 751, 22.3363, 573.875,
23, 0.328491, 2.62786, 2.95635, 25, 13, 38, 788, 17.7922, 595.628,
24, 0.329219, 7.79351, 8.12273, 23, 24, 47, 834, 17.6273, 622.383,
25, 0.329556, 5.88678, 6.21634, 11, 7, 18, 852, 21.8635, 651.467,
26, 0.328416, 4.54751, 4.87593, 41, 19, 60, 911, 15.0739, 672.421,
27, 0.330797, 4.38063, 4.71142, 27, 9, 36, 946, 18.0918, 696.229,
28, 0.328555, 7.231, 7.55956, 14, 9, 23, 968, 22.304, 727.097,
29, 0.330399, 3.59927, 3.92966, 30, 13, 43, 1008, 17.7654, 749.797,
30, 0.331754, 5.18255, 5.5143, 15, 7, 22, 1028, 21.6635, 777.979,
31, 0.330055, 7.79472, 8.12478, 15, 9, 24, 1052, 22.2427, 809.351,
32, 0.331447, 4.14893, 4.48038, 24, 11, 35, 1087, 18.2379, 833.074,
33, 0.333469, 3.05292, 3.38639, 15, 6, 21, 1107, 22.2479, 859.713,
34, 0.334372, 2.97741, 3.31178, 16, 3, 19, 1125, 22.4267, 886.456,
35, 0.333415, 8.4259, 8.75932, 9, 7, 16, 1139, 23.5093, 919.729,
36, 0.335134, 5.09495, 5.43008, 29, 15, 44, 1183, 17.1786, 943.342,
37, 0.3348, 4.07343, 4.40823, 31, 20, 51, 1233, 15.4516, 964.206,
38, 0.335287, 2.73983, 3.07512, 12, 5, 17, 1249, 22.287, 990.573,
39, 0.33724, 5.01802, 5.35526, 8, 9, 17, 1265, 22.6616, 1019.59,
40, 0.335736, 4.92584, 5.26158, 20, 14, 34, 1297, 19.1025, 1044.96,
41, 0.333989, 7.55292, 7.88691, 34, 21, 55, 1349, 16.9192, 1070.77,
42, 0.335371, 2.06966, 2.40503, 32, 13, 45, 1392, 16.2308, 1090.41,
