,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time, dump
0,1,0.324512,5.21006,5.53457,13,4,17,17,11.5119,10.8161,22.328,27.862569999999998,0
1,2,0.330876,3.74804,4.07892,34,10,61,61,8.7574,7.78526,16.5427,48.48419,0
2,3,0.332504,4.07382,4.40633,28,15,104,104,8.63597,7.5983,16.2343,69.12482,0
3,4,0.333199,3.10311,3.43631,10,0,114,114,12.2006,1.34e-07,12.200699865999999,84.761829866,1
4,5,0.335441,7.79745,8.13289,9,0,123,123,11.404,1.61e-07,11.404099838999999,104.298819705,2
5,6,0.33509,7.63759,7.97268,16,12,151,151,11.4142,10.6898,22.104,134.375499705,2
6,7,0.3327,8.91489,9.24759,14,5,170,169,11.6947,10.6398,22.3345,165.957589705,2
7,8,0.336194,5.8883,6.2245,9,0,179,178,12.421,1.38e-07,12.420999861999999,184.603089567,3
8,9,0.337477,6.36443,6.7019,33,16,228,227,9.47115,6.76064,16.2318,207.53678956700003,3
9,10,0.334709,4.70104,5.03575,17,7,252,251,11.7548,9.57267,21.3275,233.90003956700002,3
10,11,0.334408,6.04313,6.37754,35,20,307,305,8.64306,6.71652,15.3596,255.63717956700003,3
11,12,0.337146,4.54489,4.88204,37,12,356,354,8.96466,6.62121,15.5859,276.10511956700003,3
12,13,0.335521,4.78494,5.12046,34,20,410,408,7.82677,7.60984,15.4366,296.662179567,3
13,14,0.337805,6.20012,6.53793,29,20,459,456,8.61686,7.56093,16.1778,319.377909567,3
14,15,0.336524,7.08908,7.4256,18,6,483,480,11.7385,9.69999,21.4385,348.242009567,3
15,16,0.335956,9.06485,9.40081,24,28,535,532,10.1964,6.36516,16.5616,374.204419567,3
16,17,0.318545,2.4773,2.79585,8,0,543,540,12.9563,1.25e-07,12.956299875000001,389.956569442,4
17,18,0.317037,0.791581,1.10862,12,5,560,555,11.9865,10.5824,22.5689,413.634089442,4
18,19,0.316797,8.66021,8.97701,26,15,601,594,10.2232,9.23188,19.4551,442.066199442,4
19,20,0.317361,0.425847,0.743208,0,0,601,594,12.4894,1.18e-07,12.489399881999999,455.29880732400005,5
20,21,0.313132,0.185779,0.498911,27,8,636,629,9.59308,10.4091,20.0022,475.79991832400003,5
21,22,0.315161,6.51922,6.83438,10,0,646,639,11.2065,1.36e-07,11.206499864,493.840798188,6
22,23,0.333277,6.117,6.45028,12,10,668,661,12.2273,10.5372,22.7645,523.055578188,6
23,24,0.33535,4.78488,5.12023,21,9,698,690,10.5774,8.59727,19.1746,547.3504081880001,6
24,25,0.334773,2.23871,2.57348,38,12,748,739,9.75088,6.81532,16.5662,566.4900881880001,6
25,26,0.334214,4.62598,4.96019,30,12,790,780,9.12692,7.25663,16.3836,587.8338781880001,6
26,27,0.33563,7.63549,7.97112,34,24,848,836,8.14008,7.51888,15.659,611.4639981880001,6
27,28,0.333723,8.10484,8.43856,12,13,873,860,11.2144,10.1364,21.3508,641.2533581880001,6
28,29,0.335391,4.86034,5.19573,8,0,881,868,12.3952,1.52e-07,12.395299848,658.844388036,7
29,30,0.337162,7.64004,7.9772,6,0,887,874,12.2951,1.31e-07,12.295099869,679.116687905,8
30,31,0.331152,5.76195,6.09311,10,0,897,884,12.1898,8.7e-08,12.189799913,697.3995978180001,9
31,32,0.337151,5.59745,5.9346,12,4,913,898,12.4731,10.8028,23.276,726.6101978180001,9
32,33,0.327203,8.56169,8.88889,9,0,922,906,11.6707,1.52e-07,11.670699848,747.169787666,10
33,34,0.329718,5.04373,5.37345,27,16,965,947,8.76189,8.08522,16.8471,769.390337666,10
34,35,0.336948,9.1403,9.47725,30,34,1029,1009,9.90188,6.36722,16.2691,795.1366876660001,10
35,36,0.338454,7.00261,7.34107,36,26,1091,1070,8.11227,7.22947,15.3418,817.819557666,10
36,37,0.338778,5.47911,5.81789,28,19,1138,1117,9.47005,5.71898,15.1891,838.826547666,10
37,38,0.336803,5.8928,6.2296,14,11,1163,1142,11.4325,10.0148,21.4473,866.503447666,10
