,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time, dump
0,1,0.324512,5.21006,5.53457,13,4,13,17,11.5119,10.8161,11.511899999999999,27.862569999999998,0
1,2,0.330876,3.74804,4.07892,34,10,47,61,8.7574,7.78526,8.757439999999999,40.69893,0
2,3,0.332504,4.07382,4.40633,28,15,75,104,8.63597,7.5983,8.636000000000001,53.74126,0
3,4,0.333199,3.10311,3.43631,10,0,85,114,12.2006,1.34e-07,12.200699865999999,69.378269866,1
4,5,0.335441,7.79745,8.13289,9,0,94,123,11.404,1.61e-07,11.404099838999999,88.915259705,2
5,6,0.33509,7.63759,7.97268,16,12,110,151,11.4142,10.6898,11.4142,108.302139705,2
6,7,0.3327,8.91489,9.24759,14,5,124,169,11.6947,10.6398,11.6947,129.24442970500002,2
7,8,0.336194,5.8883,6.2245,9,0,133,178,12.421,1.38e-07,12.420999861999999,147.88992956700002,3
8,9,0.337477,6.36443,6.7019,33,16,166,227,9.47115,6.76064,9.47116,164.06298956700002,3
9,10,0.334709,4.70104,5.03575,17,7,183,251,11.7548,9.57267,11.75483,180.85356956700002,3
10,11,0.334408,6.04313,6.37754,35,20,218,305,8.64306,6.71652,8.643080000000001,195.87418956700003,3
11,12,0.337146,4.54489,4.88204,37,12,267,354,8.96466,6.62121,15.5859,216.34212956700003,3
12,13,0.335521,4.78494,5.12046,34,20,301,408,7.82677,7.60984,7.82676,229.28934956700002,3
13,14,0.337805,6.20012,6.53793,29,20,330,456,8.61686,7.56093,8.616870000000002,244.444149567,3
14,15,0.336524,7.08908,7.4256,18,6,348,480,11.7385,9.69999,11.738510000000002,263.608259567,3
15,16,0.335956,9.06485,9.40081,24,28,372,532,10.1964,6.36516,10.196439999999999,283.205509567,3
16,17,0.318545,2.4773,2.79585,8,0,380,540,12.9563,1.25e-07,12.956299875000001,298.95765944199997,4
17,18,0.317037,0.791581,1.10862,12,5,392,555,11.9865,10.5824,11.9865,312.052779442,4
18,19,0.316797,8.66021,8.97701,26,15,418,594,10.2232,9.23188,10.223220000000001,331.25300944199995,4
19,20,0.317361,0.425847,0.743208,0,0,418,594,12.4894,1.18e-07,12.489399881999999,344.485617324,5
20,21,0.313132,0.185779,0.498911,27,8,445,629,9.59308,10.4091,9.593099999999998,354.577628324,5
21,22,0.315161,6.51922,6.83438,10,0,455,639,11.2065,1.36e-07,11.206499864,372.61850818799996,6
22,23,0.333277,6.117,6.45028,12,10,467,661,12.2273,10.5372,12.227300000000001,391.29608818799994,6
23,24,0.33535,4.78488,5.12023,21,9,488,690,10.5774,8.59727,10.577330000000002,406.99364818799995,6
24,25,0.334773,2.23871,2.57348,38,12,538,739,9.75088,6.81532,16.5662,426.13332818799995,6
25,26,0.334214,4.62598,4.96019,30,12,568,780,9.12692,7.25663,9.12697,440.22048818799993,6
26,27,0.33563,7.63549,7.97112,34,24,602,836,8.14008,7.51888,8.14012,456.33172818799994,6
27,28,0.333723,8.10484,8.43856,12,13,614,860,11.2144,10.1364,11.2144,475.98468818799995,6
28,29,0.335391,4.86034,5.19573,8,0,622,868,12.3952,1.52e-07,12.395299848,493.57571803599996,7
29,30,0.337162,7.64004,7.9772,6,0,628,874,12.2951,1.31e-07,12.295099869,513.848017905,8
30,31,0.331152,5.76195,6.09311,10,0,638,884,12.1898,8.7e-08,12.189799913,532.130927818,9
31,32,0.337151,5.59745,5.9346,12,4,650,898,12.4731,10.8028,12.4732,550.538727818,9
32,33,0.327203,8.56169,8.88889,9,0,659,906,11.6707,1.52e-07,11.670699848,571.098317666,10
33,34,0.329718,5.04373,5.37345,27,16,686,947,8.76189,8.08522,8.761880000000001,585.2336476659999,10
34,35,0.336948,9.1403,9.47725,30,34,716,1009,9.90188,6.36722,9.901880000000002,604.6127776659999,10
35,36,0.338454,7.00261,7.34107,36,26,752,1070,8.11227,7.22947,8.11233,620.0661776659999,10
36,37,0.338778,5.47911,5.81789,28,19,780,1117,9.47005,5.71898,9.47012,635.3541876659999,10
37,38,0.336803,5.8928,6.2296,14,11,794,1142,11.4325,10.0148,11.4325,653.0162876659999,10
38,39,0.336215,7.23756,7.57378,36,16,830,1193,8.08117,7.35147,8.081230000000001,668.6712976659999,10
39,40,0.341948,3.04314,3.38509,38,10,878,1238,10.0324,6.62326,16.6557,688.7120876659999,10
40,41,0.33725,3.35383,3.69108,30,8,908,1274,9.62609,7.32571,9.626089999999998,702.0292576659999,10
41,42,0.339944,4.94172,5.28167,15,8,923,1295,11.2586,10.2024,11.258599999999998,718.5695276659999,10
42,43,0.337893,6.195,6.5329,21,19,944,1334,10.2463,7.70634,10.24636,735.3487876659999,10
43,44,0.344653,5.88901,6.23366,11,0,955,1345,12.4068,1.35e-07,12.406799865,753.9892475309999,11
44,45,0.342673,5.0187,5.36137,28,17,983,1388,8.9821,7.93802,8.982080000000002,768.3326975309999,11
45,46,0.338278,7.94564,8.28392,16,12,999,1415,10.5512,10.1372,10.551200000000001,787.1678175309999,11
46,47,0.340449,2.72137,3.06182,16,3,1015,1434,11.8613,9.82621,11.86129,802.0909275309998,11
47,48,0.331496,3.70787,4.03937,24,7,1039,1462,10.3034,9.48364,10.30336,816.4336575309998,11
48,49,0.335496,5.82546,6.16095,8,0,1047,1470,12.1635,1.32e-07,12.163499868,834.7581073989998,12
49,50,0.334471,6.21187,6.54634,11,0,1058,1481,12.6501,1.47e-07,12.650099853,853.9545472519998,13
50,51,0.332707,5.34381,5.67652,25,17,1083,1523,10.4432,7.56959,10.443209999999999,870.0742772519998,13
51,52,0.335391,6.29594,6.63133,14,8,1097,1543,12.468,10.154,12.468,889.1736072519998,13
52,53,0.331857,9.5196,9.85146,11,0,1108,1553,11.7187,1.82e-07,11.718699818,910.7437670699998,14
53,54,0.336665,8.01404,8.3507,15,4,1123,1572,10.8514,10.3087,10.8514,929.9458670699997,14
54,55,0.338429,1.51138,1.84981,12,3,1135,1587,11.675,10.6849,11.674999999999999,943.4706770699997,14
55,56,0.336547,2.06624,2.40278,32,9,1167,1624,9.70145,7.42234,9.701459999999999,955.5749170699997,14
56,57,0.337908,4.26477,4.60268,30,16,1197,1669,8.9765,7.85005,8.97655,969.1541470699998,14
