iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time, dump
1,0.324512,5.21006,5.53457,13,4,17,17,11.5119,10.8161,22.328,27.8814,0
2,0.330876,3.74804,4.07892,34,10,44,61,8.7574,7.78526,16.5427,49.5076,0
3,0.332504,4.07382,4.40633,28,15,43,104,8.63597,7.5983,16.2343,71.153,0
4,0.333199,3.10311,3.43631,10,0,10,114,12.2006,1.34E-07,12.2007,87.794,1
5,0.335441,7.79745,8.13289,9,0,9,123,11.404,1.61E-07,11.4041,108.335,2
6,0.33509,7.63759,7.97268,16,12,28,151,11.4142,10.6898,22.104,139.417,2
7,0.3327,8.91489,9.24759,14,5,19,169,11.6947,10.6398,22.3345,172.004,2
8,0.336194,5.8883,6.2245,9,0,9,178,12.421,1.38E-07,12.421,191.653,3
9,0.337477,6.36443,6.7019,33,16,49,227,9.47115,6.76064,16.2318,215.595,3
10,0.334709,4.70104,5.03575,17,7,24,251,11.7548,9.57267,21.3275,242.96,3
11,0.334408,6.04313,6.37754,35,20,55,305,8.64306,6.71652,15.3596,265.7,3
12,0.337146,4.54489,4.88204,37,12,49,354,8.96466,6.62121,15.5859,287.17,3
13,0.335521,4.78494,5.12046,34,20,54,408,7.82677,7.60984,15.4366,308.74,3
14,0.337805,6.20012,6.53793,29,20,49,456,8.61686,7.56093,16.1778,332.45,3
15,0.336524,7.08908,7.4256,18,6,24,480,11.7385,9.69999,21.4385,362.33,3
16,0.335956,9.06485,9.40081,24,28,52,532,10.1964,6.36516,16.5616,389.29,3
17,0.318545,2.4773,2.79585,8,0,8,540,12.9563,1.25E-07,12.9563,406.04,4
18,0.317037,0.791581,1.10862,12,5,17,555,11.9865,10.5824,22.5689,430.73,4
19,0.316797,8.66021,8.97701,26,15,41,594,10.2232,9.23188,19.4551,460.17,4
20,0.317361,0.425847,0.743208,0,0,0,594,12.4894,1.18E-07,12.4894,474.4,5
21,0.313132,0.185779,0.498911,27,8,35,629,9.59308,10.4091,20.0022,495.91,5
22,0.315161,6.51922,6.83438,10,0,10,639,11.2065,1.36E-07,11.2065,514.96,6
23,0.333277,6.117,6.45028,12,10,22,661,12.2273,10.5372,22.7645,545.17,6
24,0.33535,4.78488,5.12023,21,9,30,690,10.5774,8.59727,19.1746,570.47,6
25,0.334773,2.23871,2.57348,38,12,50,739,9.75088,6.81532,16.5662,590.62,6
26,0.334214,4.62598,4.96019,30,12,42,780,9.12692,7.25663,16.3836,612.97,6
27,0.33563,7.63549,7.97112,34,24,58,836,8.14008,7.51888,15.659,637.6,6
28,0.333723,8.10484,8.43856,12,13,25,860,11.2144,10.1364,21.3508,668.39,6
29,0.335391,4.86034,5.19573,8,0,8,868,12.3952,1.52E-07,12.3953,686.99,7
30,0.337162,7.64004,7.9772,6,0,6,874,12.2951,1.31E-07,12.2951,708.3,8
31,0.331152,5.76195,6.09311,10,0,10,884,12.1898,8.70E-08,12.1898,727.5,9
32,0.337151,5.59745,5.9346,12,4,16,898,12.4731,10.8028,23.276,757.8,9
33,0.327203,8.56169,8.88889,9,0,9,906,11.6707,1.52E-07,11.6707,779.3,10
34,0.329718,5.04373,5.37345,27,16,43,947,8.76189,8.08522,16.8471,802.6,10
35,0.336948,9.1403,9.47725,30,34,64,1009,9.90188,6.36722,16.2691,829.3,10
36,0.338454,7.00261,7.34107,36,26,62,1070,8.11227,7.22947,15.3418,853,10
37,0.338778,5.47911,5.81789,28,19,47,1117,9.47005,5.71898,15.1891,875,10
38,0.336803,5.8928,6.2296,14,11,25,1142,11.4325,10.0148,21.4473,903.7,10
39,0.336215,7.23756,7.57378,36,16,52,1193,8.08117,7.35147,15.4327,927.7,10
40,0.341948,3.04314,3.38509,38,10,48,1238,10.0324,6.62326,16.6557,948.7,10
41,0.33725,3.35383,3.69108,30,8,38,1274,9.62609,7.32571,16.9518,970.4,10
42,0.339944,4.94172,5.28167,15,8,23,1295,11.2586,10.2024,21.461,998.2,10
43,0.337893,6.195,6.5329,21,19,40,1334,10.2463,7.70634,17.9527,1023.6,10
44,0.344653,5.88901,6.23366,11,0,11,1345,12.4068,1.35E-07,12.4068,1043.3,11
45,0.342673,5.0187,5.36137,28,17,45,1388,8.9821,7.93802,16.9201,1066.5,11
46,0.338278,7.94564,8.28392,16,12,28,1415,10.5512,10.1372,20.6884,1096.6,11
47,0.340449,2.72137,3.06182,16,3,19,1434,11.8613,9.82621,21.6875,1122.2,11
48,0.331496,3.70787,4.03937,24,7,31,1462,10.3034,9.48364,19.787,1147.2,11
49,0.335496,5.82546,6.16095,8,0,8,1470,12.1635,1.32E-07,12.1635,1166.4,12
