iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
1,0.0118637,8.89518,8.90704,31,20,51,51,9.38436,6.4149,15.7993,24.7409,0
2,0.0197075,2.53703,2.55674,14,7,21,72,11.2621,10.569,21.8311,50.1332,0
3,0.0226571,7.30696,7.32961,34,19,53,125,8.93139,6.88938,15.8208,74.2881,0
4,0.0209945,6.52251,6.54351,15,7,22,147,11.5271,9.98546,21.5126,103.349,0
5,0.0196467,2.00424,2.02389,24,10,34,180,10.9846,7.61934,18.604,124.981,0
6,0.018928,6.8344,6.85333,13,9,22,202,12.0732,9.98058,22.0538,154.893,0
7,0.0207809,8.0976,8.11838,13,10,23,225,11.0398,10.8072,21.8471,185.863,0
8,0.0217102,7.54673,7.56844,34,16,50,275,8.70537,6.83611,15.5415,209.977,0
9,0.0212346,6.67289,6.69413,11,6,17,292,11.8684,10.4708,22.3392,240.015,0
10,0.0224508,4.31121,4.33366,27,17,44,335,9.77553,6.40385,16.1794,261.533,0
11,0.0214401,3.28111,3.30255,10,5,15,350,12.515,9.89114,22.4061,288.246,0
12,0.024117,3.19159,3.2157,34,7,41,390,8.90815,8.00826,16.9164,309.382,0
13,0.0229024,6.60201,6.62491,17,8,25,415,11.4715,9.48546,20.957,337.969,0
14,0.0212197,5.36757,5.38879,41,11,52,467,8.6378,7.83979,16.4776,360.84,0
15,0.0235953,6.75825,6.78185,15,2,17,483,12.208,10.2279,22.436,391.062,0
16,0.0249413,7.30675,7.33169,33,18,51,533,10.5595,6.88516,17.4447,416.843,0
17,0.0242346,5.75133,5.77557,20,11,31,564,11.6154,9.36784,20.9832,444.606,0
18,0.0226035,5.12511,5.14772,37,14,51,613,9.59083,6.47928,16.0701,466.828,0
19,0.0227989,6.21264,6.23544,11,6,17,630,12.2975,9.96959,22.2671,496.335,0
20,0.0226194,7.38238,7.405,24,26,50,679,10.2596,6.73545,16.9951,521.74,0
21,0.0246168,8.38758,8.4122,22,7,29,708,11.0491,9.79333,20.8424,551.999,0
22,0.0240067,3.58731,3.61132,29,14,43,749,10.7607,6.95108,17.7118,574.327,0
23,0.0227405,9.04123,9.06397,10,6,16,765,12.4562,10.9019,23.3581,607.753,0
24,0.0222905,6.7092,6.73149,37,24,61,826,8.42686,7.07041,15.4973,630.987,0
25,0.0258317,7.1535,7.17933,16,6,22,847,11.72,10.0073,21.7273,660.898,0
26,0.025886,4.57753,4.60341,35,15,50,896,9.24697,6.8984,16.1454,682.651,0
27,0.0249402,6.29489,6.31983,7,8,15,910,12.8602,10.9371,23.7973,713.773,0
28,0.0249953,4.18358,4.20858,28,20,48,957,8.49966,6.59974,15.0994,734.085,0
29,0.0273451,7.22542,7.25277,14,9,23,979,11.3733,10.5338,21.9072,764.25,0
30,0.027676,4.02384,4.05152,36,11,47,1025,9.26442,7.05697,16.3214,785.627,0
31,0.0272857,3.63648,3.66376,13,3,16,1041,12.2243,10.9081,23.1324,813.428,0
32,0.0261923,5.02147,5.04766,28,13,41,1078,9.44387,7.40792,16.8518,836.332,0
33,0.0253953,5.33197,5.35737,17,3,20,1098,11.2366,9.91868,21.1553,863.849,0
34,0.025994,3.35276,3.37876,22,12,34,1131,10.3996,8.583,18.9826,887.215,0
