iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
1,0.192632,4.3802,4.57283,10,0,10,10,11.7141,1.41E-07,11.7141,16.3045,1
2,0.202903,3.28159,3.48449,35,5,40,50,9.25178,7.31413,16.5659,37.3594,1
3,0.200275,4.23039,4.43067,13,0,13,63,11.8828,7.90E-08,11.8829,54.6775,2
4,0.200737,6.03835,6.23909,10,0,10,73,12.0509,1.58E-07,12.0509,73.9719,3
5,0.20462,5.1772,5.38182,18,0,18,91,11.0859,8.90E-08,11.0859,91.4441,4
6,0.203197,6.65557,6.85877,10,0,10,101,11.9966,1.07E-07,11.9966,111.304,5
7,0.201538,2.19527,2.39681,16,0,16,117,11.6879,1.05E-07,11.6879,126.393,6
8,0.203257,8.26424,8.4675,32,24,56,173,8.85141,8.41312,17.2646,153.13,6
9,0.203203,5.37632,5.57952,25,12,37,210,10.2236,8.34068,18.5643,178.278,6
10,0.203536,5.91551,6.11904,14,0,14,223,12.0588,1.21E-07,12.0589,197.46,7
11,0.202107,8.34203,8.54414,34,26,60,282,9.15982,6.26766,15.4275,222.437,7
12,0.205041,5.00255,5.20759,13,0,13,295,10.7694,1.10E-07,10.7694,239.418,8
13,0.20192,6.16833,6.37025,35,19,54,349,8.4077,6.77584,15.1836,261.976,8
14,0.20511,2.04338,2.24849,18,0,18,367,11.3611,6.00E-08,11.3611,276.59,9
15,0.207198,3.63623,3.84343,28,21,49,415,8.4399,8.31913,16.7591,298.197,9
16,0.205229,9.02091,9.22614,16,0,16,431,11.2675,1.42E-07,11.2675,319.696,10
17,0.206987,5.51694,5.72393,13,0,13,444,11.2879,9.50E-08,11.2879,337.712,11
18,0.201844,6.73922,6.94107,15,0,15,459,12.2839,9.00E-08,12.2839,357.941,12
19,0.206681,4.56534,4.77202,32,15,47,505,9.09449,6.35196,15.4465,379.164,12
20,0.20763,9.10773,9.31536,22,0,22,527,8.88303,1.26E-07,8.88305,398.367,13
21,0.204566,3.19243,3.397,15,0,15,542,11.769,7.30E-08,11.769,414.538,14
