,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
0,1,0.192632,4.3802,4.57283,10,0,10,10,11.7141,1.41e-07,11.714099859000001,16.286929999999998,1
1,2,0.202903,3.28159,3.48449,35,5,50,50,9.25178,7.31413,16.5659,36.33732,1
2,3,0.200275,4.23039,4.43067,13,0,63,63,11.8828,7.9e-08,11.882899921,52.650889921,2
3,4,0.200737,6.03835,6.23909,10,0,73,73,12.0509,1.58e-07,12.050899842,70.940879763,3
4,5,0.20462,5.1772,5.38182,18,0,91,91,11.0859,8.9e-08,11.085899911,87.408599674,4
5,6,0.203197,6.65557,6.85877,10,0,101,101,11.9966,1.07e-07,11.996599893,106.263969567,5
6,7,0.201538,2.19527,2.39681,16,0,117,117,11.6879,1.05e-07,11.687899895000001,120.348679462,6
7,8,0.203257,8.26424,8.4675,32,24,173,173,8.85141,8.41312,17.2646,146.080779462,6
8,9,0.203203,5.37632,5.57952,25,12,210,210,10.2236,8.34068,18.5643,170.22459946200001,6
9,10,0.203536,5.91551,6.11904,14,0,224,223,12.0588,1.21e-07,12.058899879,188.40253934100002,7
10,11,0.202107,8.34203,8.54414,34,26,284,282,9.15982,6.26766,15.4275,212.37417934100003,7
11,12,0.205041,5.00255,5.20759,13,0,297,295,10.7694,1.1e-07,10.769399889999999,228.35116923100003,8
12,13,0.20192,6.16833,6.37025,35,19,351,349,8.4077,6.77584,15.1836,249.90501923100004,8
13,14,0.20511,2.04338,2.24849,18,0,369,367,11.3611,6e-08,11.36109994,263.514609171,9
14,15,0.207198,3.63623,3.84343,28,21,418,415,8.4399,8.31913,16.7591,284.117139171,9
15,16,0.205229,9.02091,9.22614,16,0,434,431,11.2675,1.42e-07,11.267499858,304.610779029,10
16,17,0.206987,5.51694,5.72393,13,0,447,444,11.2879,9.5e-08,11.287899905,321.622608934,11
17,18,0.201844,6.73922,6.94107,15,0,462,459,12.2839,9e-08,12.283899909999999,340.84757884400005,12
18,19,0.206681,4.56534,4.77202,32,15,509,505,9.09449,6.35196,15.4465,361.06609884400007,12
19,20,0.20763,9.10773,9.31536,22,0,531,527,8.88303,1.26e-07,8.883049874000001,379.26450871800006,13
20,21,0.204566,3.19243,3.397,15,0,546,542,11.769,7.3e-08,11.768999927,394.43050864500003,14
21,22,0.207953,4.4796,4.68755,15,0,561,557,11.9429,6.1e-08,11.942999939,411.061058584,15
22,23,0.206329,5.05433,5.26066,16,0,577,573,10.9312,1.14e-07,10.931199886,427.25291847,16
23,24,0.20685,2.20825,2.4151,17,0,594,589,11.552,7.2e-08,11.551999927999999,441.220018398,17
24,25,0.207722,3.43276,3.64048,32,15,641,636,8.9366,7.7097,16.6463,461.506798398,17
25,26,0.206276,8.76226,8.96854,16,0,657,652,11.2516,1.23e-07,11.251599877,481.726938275,18
26,27,0.207733,4.65396,4.86169,19,0,676,670,11.1207,7.3e-08,11.120699926999999,497.709328202,19
27,28,0.20771,6.66968,6.87739,24,0,700,694,9.74613,1.15e-07,9.74615,514.332868202,20
28,29,0.207967,3.34797,3.55593,15,0,715,709,12.0527,1.67e-07,12.052699833,529.941498035,21
29,30,0.207509,5.21032,5.41783,11,0,726,720,12.1039,1.01e-07,12.103899899,547.463227934,22
30,31,0.208653,8.45354,8.6622,17,0,743,735,11.1452,1.41e-07,11.145199859000002,567.270627793,23
31,32,0.208165,6.89308,7.10125,31,19,793,784,8.76523,7.37552,16.1408,590.512677793,23
32,33,0.209966,4.55874,4.7687,13,0,806,797,12.0993,1.21e-07,12.099399879,607.380777672,24
33,34,0.208228,6.41423,6.62246,13,0,819,810,11.6391,9.5e-08,11.639099904999998,625.642337577,25
34,35,0.210581,3.59971,3.81029,20,0,839,830,10.283,1.23e-07,10.282999877,639.735627454,26
35,36,0.209721,3.67164,3.88136,15,0,854,845,11.4118,9.6e-08,11.411899903999998,655.028887358,27
36,37,0.211959,4.88726,5.09922,33,15,902,893,8.57982,7.3283,15.9081,676.0362073580001,27
37,38,0.20961,6.66766,6.87727,34,19,955,944,9.28409,7.34185,16.626,699.5394773580001,27
38,39,0.209817,5.5998,5.80962,16,0,971,958,11.272,7.5e-08,11.271999925,716.6210972830002,28
