,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
0,1,0.0118637,8.89518,8.90704,31,20,51,51,9.38436,6.4149,15.7993,24.70634,0
1,2,0.0197075,2.53703,2.55674,14,7,72,72,11.2621,10.569,21.8311,49.09418,0
2,3,0.0226571,7.30696,7.32961,34,19,125,125,8.93139,6.88938,15.8208,72.24459,0
3,4,0.0209945,6.52251,6.54351,15,7,147,147,11.5271,9.98546,21.5126,100.3007,0
4,5,0.0196467,2.00424,2.02389,24,10,181,180,10.9846,7.61934,18.604,120.92859000000001,0
5,6,0.018928,6.8344,6.85333,13,9,203,202,12.0732,9.98058,22.0538,149.83572,0
6,7,0.0207809,8.0976,8.11838,13,10,226,225,11.0398,10.8072,21.8471,179.8012,0
7,8,0.0217102,7.54673,7.56844,34,16,276,275,8.70537,6.83611,15.5415,202.91114,0
8,9,0.0212346,6.67289,6.69413,11,6,293,292,11.8684,10.4708,22.3392,231.94447,0
9,10,0.0224508,4.31121,4.33366,27,17,337,335,9.77553,6.40385,16.1794,252.45753,0
10,11,0.0214401,3.28111,3.30255,10,5,352,350,12.515,9.89114,22.4061,278.16618,0
11,12,0.024117,3.19159,3.2157,34,7,393,390,8.90815,8.00826,16.9164,298.29828,0
12,13,0.0229024,6.60201,6.62491,17,8,418,415,11.4715,9.48546,20.957,325.88018999999997,0
13,14,0.0212197,5.36757,5.38879,41,11,470,467,8.6378,7.83979,16.4776,347.74658,0
14,15,0.0235953,6.75825,6.78185,15,2,487,483,12.208,10.2279,22.436,376.96443,0
15,16,0.0249413,7.30675,7.33169,33,18,538,533,10.5595,6.88516,17.4447,401.74082,0
16,17,0.0242346,5.75133,5.77557,20,11,569,564,11.6154,9.36784,20.9832,428.49959,0
17,18,0.0226035,5.12511,5.14772,37,14,620,613,9.59083,6.47928,16.0701,449.71741000000003,0
18,19,0.0227989,6.21264,6.23544,11,6,637,630,12.2975,9.96959,22.2671,478.21995000000004,0
19,20,0.0226194,7.38238,7.405,24,26,687,679,10.2596,6.73545,16.9951,502.62005000000005,0
20,21,0.0246168,8.38758,8.4122,22,7,716,708,11.0491,9.79333,20.8424,531.8746500000001,0
21,22,0.0240067,3.58731,3.61132,29,14,759,749,10.7607,6.95108,17.7118,553.1977700000001,0
22,23,0.0227405,9.04123,9.06397,10,6,775,765,12.4562,10.9019,23.3581,585.6198400000001,0
23,24,0.0222905,6.7092,6.73149,37,24,836,826,8.42686,7.07041,15.4973,607.8486300000001,0
24,25,0.0258317,7.1535,7.17933,16,6,858,847,11.72,10.0073,21.7273,636.75526,0
25,26,0.025886,4.57753,4.60341,35,15,908,896,9.24697,6.8984,16.1454,657.5040700000001,0
26,27,0.0249402,6.29489,6.31983,7,8,923,910,12.8602,10.9371,23.7973,687.6212,0
